id,last,first,label,title
http://vivo.brown.edu/individual/gkenna,Kenna,George,"Kenna, George",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/knelson1,Nelson,Kimberly,"Nelson, Kimberly",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/jgthomas,Thomas,Graham,"Thomas, Graham",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/kbenito,Benito,Kristen,"Benito, Kristen",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/whadley,Hadley,Wendy,"Hadley, Wendy",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/lbrave,Whiteley,Laura,"Whiteley, Laura",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/lorchows,Orchowski,Lindsay,"Orchowski, Lindsay",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/nmclaugh,McLaughlin,Nicole,"McLaughlin, Nicole",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/sshepard,Shepard-Umaschi,Stephanie,"Shepard-Umaschi, Stephanie",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/loberman,Oberman,Lindsay,"Oberman, Lindsay",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/amansfie,Marcaccio,Abigail,"Marcaccio, Abigail",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/tlevinem,Levine,Todd,"Levine, Todd",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/mmancebo,Mancebo,Maria,"Mancebo, Maria",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/abusch,Busch,Andrew,"Busch, Andrew",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/mpinksto,Pinkston-Camp,Megan,"Pinkston-Camp, Megan",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/ef14,Frazier,Elisabeth,"Frazier, Elisabeth",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/ddickste,Dickstein,Daniel,"Dickstein, Daniel","Associate Professor of Psychiatry and Human Behavior,  Associate Professor of Pediatrics,  Associate Professor of Diagnostic Imaging"
http://vivo.brown.edu/individual/gdiebold,Diebold,Gerald,"Diebold, Gerald",Professor of Chemistry
http://vivo.brown.edu/individual/pwilliar,Williard,Paul,"Williard, Paul",Professor of Chemistry
http://vivo.brown.edu/individual/crosepet,Rose-Petruck,Christoph,"Rose-Petruck, Christoph",Professor of Chemistry
http://vivo.brown.edu/individual/jsedivy,Sedivy,John,"Sedivy, John","Hermon C. Bumpus Professor of Biology,  Professor of Medical Science"
http://vivo.brown.edu/individual/mbertnes,Bertness,Mark,"Bertness, Mark",Robert P. Brown Professor of Biology
http://vivo.brown.edu/individual/jr17,Roberts,J Timmons,"Roberts, J Timmons","Ittleson Professor of Environmental Studies,  Professor of Sociology"
http://vivo.brown.edu/individual/rchandra,Chandran,Rabin,"Chandran, Rabin",Associate Professor of Family Medicine (Clinical)
http://vivo.brown.edu/individual/pdennehy,Dennehy,Penelope,"Dennehy, Penelope","Professor of Pediatrics,  Vice Chair of Pediatrics"
http://vivo.brown.edu/individual/dmk3,King,Dawn,"King, Dawn",Lecturer in Environment and Society
http://vivo.brown.edu/individual/pgupta,Gupta,Preeti,"Gupta, Preeti","Assistant Professor of Neurology (Clinical),  Assistant Professor of Medical Science (Clinical)"
http://vivo.brown.edu/individual/josilver,Silverman,John,"Silverman, John",Professor Emeritus of Modern Culture and Media
http://vivo.brown.edu/individual/doperari,Operario,Don,"Operario, Don","Associate Dean for Academic Affairs,  Associate Professor of Behavioral and Social Sciences"
http://vivo.brown.edu/individual/sdigiuli,DiGiulio,Scott,"DiGiulio, Scott",Postdoctoral Fellow in Classics
http://vivo.brown.edu/individual/lgandhi,Gandhi,Leela,"Gandhi, Leela",John Hawkes Professor of the Humanities and English
http://vivo.brown.edu/individual/bbockphd,Bock,Beth,"Bock, Beth","Professor of Psychiatry and Human Behavior (Research),  Professor of Behavioral and Social Sciences (Research)"
http://vivo.brown.edu/individual/scolby,Colby,Suzanne,"Colby, Suzanne","Professor of Psychiatry and Human Behavior (Research),  Professor of Behavioral and Social Sciences (Research)"
http://vivo.brown.edu/individual/destlund,Estlund,David,"Estlund, David",Lombardo Family Professor of the Humanities
http://vivo.brown.edu/individual/azimmerm,Zimmerman,Anita,"Zimmerman, Anita","Professor of Medical Science,  Vice Chair of Molecular Pharmacology, Physiology and Biotechnology,  Director of the Molecular Pharmacology and Physiology Graduate Program"
http://vivo.brown.edu/individual/eakarli,Akarli,Engin,"Akarli, Engin",Joukowsky Family Distinguished Professor Emeritus of Modern Middle Eastern History
http://vivo.brown.edu/individual/lmmignon,Mignone,Lisa,"Mignone, Lisa",Assistant Professor of Classics
http://vivo.brown.edu/individual/sekidd,Kidd,Stephen,"Kidd, Stephen",Assistant Professor of Classics
http://vivo.brown.edu/individual/smoubaye,Moubayed,Samir,"Moubayed, Samir",Clinical Associate Professor Emeritus of Obstetrics and Gynecology
http://vivo.brown.edu/individual/hmagenda,Magendantz,Henry,"Magendantz, Henry",Clinical Associate Professor Emeritus of Obstetrics and Gynecology
http://vivo.brown.edu/individual/rshahhos,Shah-Hosseini,Reza,"Shah-Hosseini, Reza",Clinical Associate Professor Emeritus of Obstetrics and Gynecology
http://vivo.brown.edu/individual/ts10,Stevens,Tanya,"Stevens, Tanya",Investigator in Neuroscience
